date,school,district,school_type,campaign,campaign_phase,platform,content_type,boosted,target_grade,target_gender,on_ground_support,spend_zar,budget_allocated_zar,impressions,engagements,clicks,link_clicks,page_views,form_starts,registrations,confirmed_enrollments,counsellor_referrals,ctr,engagement_rate,link_click_rate,page_view_rate,form_start_rate,completion_rate,conversion_rate,enrollment_rate,cost_per_registration,cost_per_enrollment,budget_utilisation
2026-04-05,Rosebank Academy,Rosebank,Public,Stem Drive,Mid,Facebook,Story,True,Grade 12,All,False,68.7,65.83,2020,98.0,89.0,44.0,25.0,9.0,2.0,1.0,6.0,0.04405940594059406,0.048514851485148516,0.4943820224719101,0.5681818181818182,0.36,0.2222222222222222,0.0009900990099009901,0.5,34.35,68.7,1.043597144159198
2026-04-21,Sandton College,Sandton,Public,Career Day,Mid,Facebook,Static,False,Grade 12,Male,False,0.0,0.0,1625,44.0,34.0,16.0,11.0,5.0,0.0,0.0,1.0,0.020923076923076923,0.02707692307692308,0.47058823529411764,0.6875,0.45454545454545453,0.0,0.0,0.0,,,
2026-04-04,Randburg High,Randburg,Public,Career Day,Launch,WhatsApp,Static,False,Both,All,False,0.0,0.0,200,52.0,45.0,31.0,22.0,11.0,1.0,0.0,2.0,0.225,0.26,0.6888888888888889,0.7096774193548387,0.5,0.09090909090909091,0.005,0.0,0.0,,
2026-05-08,Midrand High,Midrand,Public,Digital Skills Push,Mid,Facebook,Carousel,True,Grade 11,Female,False,0.0,24.3,820,59.0,39.0,28.0,17.0,6.0,0.0,0.0,2.0,0.0475609756097561,0.07195121951219512,0.717948717948718,0.6071428571428571,0.35294117647058826,0.0,0.0,0.0,,,0.0
2026-04-26,Alexandra School,Alexandra,No-Fee Public,Career Day,Mid,Instagram,Video,True,Grade 12,Male,True,107.58,120.11,2401,335.0,0.0,161.0,100.0,27.0,2.0,1.0,24.0,0.0,0.13952519783423573,0.0,0.6211180124223602,0.27,0.07407407407407407,0.0008329862557267805,0.5,53.79,107.58,0.8956789609524602
2026-04-22,Randburg High,Randburg,Public,Literacy Week,Mid,TikTok,Story,False,Both,Male,True,0.0,0.0,1194,317.0,0.0,88.0,58.0,30.0,4.0,0.0,11.0,0.0,0.26549413735343386,0.0,0.6590909090909091,0.5172413793103449,0.13333333333333333,0.0033500837520938024,0.0,0.0,,
2026-05-24,Midrand High,Midrand,Public,Career Day,Close,WhatsApp,Static,True,Grade 12,All,True,37.6,40.07,1634,496.0,479.0,269.0,214.0,91.0,14.0,6.0,38.0,0.29314565483476135,0.30354957160342716,0.5615866388308977,0.7955390334572491,0.4252336448598131,0.15384615384615385,0.008567931456548347,0.42857142857142855,2.685714285714286,6.266666666666667,0.9383578737209883
2026-07-04,Alexandra School,Alexandra,No-Fee Public,Career Day,Launch,TikTok,Carousel,False,Grade 12,All,False,0.0,0.0,1341,383.0,67.0,31.0,23.0,7.0,0.0,0.0,3.0,0.049962714392244596,0.28560775540641314,0.4626865671641791,0.7419354838709677,0.30434782608695654,0.0,0.0,0.0,,,
2026-05-26,Randburg High,Randburg,Public,Literacy Week,Close,Instagram,Video,True,Grade 12,Male,False,38.26,33.25,1052,127.0,120.0,0.0,57.0,16.0,1.0,0.0,7.0,0.11406844106463879,0.12072243346007605,0.0,0.0,0.2807017543859649,0.0625,0.0009505703422053232,0.0,38.26,,1.1506766917293232
2026-05-18,Randburg High,Randburg,Public,Digital Skills Push,Close,TikTok,Video,False,Grade 12,Female,False,0.0,0.0,18255,5529.0,2216.0,1621.0,992.0,310.0,52.0,23.0,109.0,0.12139139961654341,0.3028759244042728,0.7314981949458483,0.6119679210363973,0.3125,0.16774193548387098,0.0028485346480416323,0.4423076923076923,0.0,0.0,
2026-04-08,Randburg High,Randburg,Public,Stem Drive,Launch,WhatsApp,Carousel,False,Grade 11,Female,True,0.0,0.0,567,229.0,137.0,68.0,39.0,17.0,1.0,0.0,6.0,0.24162257495590828,0.4038800705467372,0.49635036496350365,0.5735294117647058,0.4358974358974359,0.058823529411764705,0.001763668430335097,0.0,0.0,,
2026-04-27,Brixton High,Johannesburg South,Public,Stem Drive,Mid,WhatsApp,Static,False,Grade 12,Male,False,0.0,0.0,697,149.0,140.0,0.0,41.0,12.0,0.0,1.0,8.0,0.20086083213773315,0.21377331420373027,0.0,0.0,0.2926829268292683,0.0,0.0,0.0,,0.0,
2026-04-02,Midrand High,Midrand,Public,Digital Skills Push,Launch,Instagram,Carousel,False,Grade 12,Female,False,0.0,0.0,677,123.0,63.0,32.0,17.0,6.0,0.0,0.0,1.0,0.0930576070901034,0.18168389955686853,0.5079365079365079,0.53125,0.35294117647058826,0.0,0.0,0.0,,,
2026-06-07,Randburg High,Randburg,Public,Digital Skills Push,Close,Facebook,Static,False,Grade 11,Female,False,0.0,0.0,866,55.0,40.0,22.0,14.0,6.0,0.0,0.0,3.0,0.046189376443418015,0.06351039260969978,0.55,0.6363636363636364,0.42857142857142855,0.0,0.0,0.0,,,
2026-05-24,Brixton High,Johannesburg South,Public,Career Day,Close,Facebook,Carousel,True,Grade 12,Female,False,52.58,47.82,1078,33.0,77.0,47.0,29.0,15.0,1.0,0.0,3.0,0.07142857142857142,0.030612244897959183,0.6103896103896104,0.6170212765957447,0.5172413793103449,0.06666666666666667,0.0009276437847866419,0.0,52.58,,1.0995399414470932
2026-04-05,Midrand High,Midrand,Public,Career Day,Mid,TikTok,Video,True,Grade 12,All,False,314.02,329.12,11690,3807.0,1425.0,594.0,434.0,173.0,46.0,22.0,77.0,0.12189905902480752,0.32566295979469634,0.4168421052631579,0.7306397306397306,0.3986175115207373,0.2658959537572254,0.003934987168520102,0.4782608695652174,6.826521739130435,14.273636363636363,0.9541200777831793
2026-05-30,Rosebank Academy,Rosebank,Public,Stem Drive,Close,Instagram,Carousel,True,Grade 12,Male,False,154.43,158.39,3359,315.0,150.0,0.0,89.0,48.0,5.0,3.0,13.0,0.04465614766299494,0.09377791009228938,0.0,0.0,0.5393258426966292,0.10416666666666667,0.0014885382554331646,0.6,30.886000000000003,51.47666666666667,0.9749984216175265
2026-05-02,Randburg High,Randburg,Public,Literacy Week,Mid,Instagram,Carousel,True,Both,All,False,214.36,217.04,3965,657.0,350.0,154.0,86.0,22.0,4.0,1.0,11.0,0.08827238335435057,0.1656998738965952,0.44,0.5584415584415584,0.2558139534883721,0.18181818181818182,0.001008827238335435,0.25,53.59,214.36,0.9876520457058607
2026-04-10,Midrand High,Midrand,Public,Stem Drive,Launch,Facebook,Static,True,Both,All,False,38.12,43.72,1330,55.0,79.0,49.0,35.0,8.0,0.0,0.0,3.0,0.059398496240601506,0.041353383458646614,0.620253164556962,0.7142857142857143,0.22857142857142856,0.0,0.0,0.0,,,0.8719121683440073
2026-04-07,Alexandra School,Alexandra,No-Fee Public,Stem Drive,Launch,Instagram,Static,False,Both,All,True,0.0,0.0,2411,213.0,165.0,111.0,64.0,28.0,2.0,1.0,15.0,0.06843633347158855,0.08834508502695977,0.6727272727272727,0.5765765765765766,0.4375,0.07142857142857142,0.0008295313148071339,0.5,0.0,0.0,
2026-04-22,Brixton High,Johannesburg South,Public,Literacy Week,Mid,TikTok,Video,True,Both,All,True,74.51,82.9,2034,773.0,242.0,178.0,129.0,45.0,9.0,0.0,20.0,0.11897738446411013,0.380039331366765,0.7355371900826446,0.7247191011235955,0.3488372093023256,0.2,0.004424778761061947,0.0,8.27888888888889,,0.8987937273823884
2026-06-04,Randburg High,Randburg,Public,Literacy Week,Launch,Instagram,Static,True,Grade 12,Female,True,436.01,381.23,7968,916.0,935.0,404.0,286.0,103.0,15.0,6.0,32.0,0.11734437751004016,0.11495983935742972,0.4320855614973262,0.7079207920792079,0.36013986013986016,0.14563106796116504,0.0018825301204819277,0.4,29.067333333333334,72.66833333333334,1.1436927838837447
2026-04-13,Rosebank Academy,Rosebank,Public,Digital Skills Push,Launch,Facebook,Carousel,True,Both,Male,False,23.93,22.48,822,42.0,16.0,10.0,6.0,2.0,0.0,0.0,1.0,0.019464720194647202,0.051094890510948905,0.625,0.6,0.3333333333333333,0.0,0.0,0.0,,,1.0645017793594305
2026-04-12,Sandton College,Sandton,Public,Digital Skills Push,Launch,Facebook,Static,False,Grade 11,Female,False,0.0,0.0,1583,55.0,63.0,28.0,19.0,5.0,0.0,0.0,2.0,0.03979785217940619,0.03474415666456096,0.4444444444444444,0.6785714285714286,0.2631578947368421,0.0,0.0,0.0,,,
2026-08-04,Alexandra School,Alexandra,No-Fee Public,Literacy Week,Launch,Facebook,Video,True,Grade 12,All,True,16.37,15.69,407,31.0,9.0,6.0,3.0,1.0,0.0,0.0,0.0,0.022113022113022112,0.07616707616707617,0.6666666666666666,0.5,0.3333333333333333,0.0,0.0,0.0,,,1.0433397068196304
2026-06-04,Brixton High,Johannesburg South,Public,Stem Drive,Close,WhatsApp,Static,True,Both,Male,False,12.18,13.25,478,62.0,123.0,63.0,40.0,16.0,1.0,0.0,8.0,0.25732217573221755,0.1297071129707113,0.5121951219512195,0.6349206349206349,0.4,0.0625,0.0020920502092050207,0.0,12.18,,0.9192452830188679
2026-06-05,Sandton College,Sandton,Public,Career Day,Mid,WhatsApp,Video,False,Grade 12,Male,False,0.0,0.0,763,457.0,105.0,52.0,40.0,16.0,3.0,1.0,5.0,0.13761467889908258,0.598951507208388,0.49523809523809526,0.7692307692307693,0.4,0.1875,0.003931847968545216,0.3333333333333333,0.0,0.0,
2026-12-05,Soweto Academy,Soweto,No-Fee Public,Digital Skills Push,Mid,TikTok,Video,True,Grade 12,Male,False,642.42,609.41,20367,4777.0,1996.0,1473.0,1171.0,574.0,44.0,20.0,168.0,0.09800166936711346,0.234546079442235,0.7379759519038076,0.7949762389680923,0.4901793339026473,0.07665505226480836,0.002160357440958413,0.45454545454545453,14.600454545454545,32.120999999999995,1.0541671452716561
2026-04-12,Soweto Academy,Soweto,No-Fee Public,Career Day,Launch,WhatsApp,Static,False,Grade 11,Female,True,0.0,0.0,749,215.0,196.0,132.0,78.0,26.0,1.0,0.0,8.0,0.2616822429906542,0.2870493991989319,0.673469387755102,0.5909090909090909,0.3333333333333333,0.038461538461538464,0.0013351134846461949,0.0,0.0,,
2026-09-04,Randburg High,Randburg,Public,Digital Skills Push,Launch,Instagram,Story,True,Both,All,False,143.98,144.01,3663,0.0,189.0,103.0,77.0,21.0,2.0,0.0,10.0,0.051597051597051594,0.0,0.544973544973545,0.7475728155339806,0.2727272727272727,0.09523809523809523,0.000546000546000546,0.0,71.99,,0.9997916811332547
2026-05-07,Soweto Academy,Soweto,No-Fee Public,Stem Drive,Mid,WhatsApp,Static,False,Both,Female,False,0.0,0.0,236,67.0,55.0,0.0,16.0,7.0,0.0,0.0,2.0,0.2330508474576271,0.2838983050847458,0.0,0.0,0.4375,0.0,0.0,0.0,,,
2026-04-01,Brixton High,Johannesburg South,Public,Stem Drive,Launch,WhatsApp,Video,True,Both,Female,False,7.51,7.57,575,209.0,121.0,51.0,30.0,10.0,0.0,0.0,7.0,0.21043478260869566,0.3634782608695652,0.4214876033057851,0.5882352941176471,0.3333333333333333,0.0,0.0,0.0,,,0.9920739762219286
2026-06-10,Rosebank Academy,Rosebank,Public,Digital Skills Push,Close,Instagram,Story,True,Grade 12,All,True,198.68,228.08,3218,449.0,365.0,227.0,178.0,71.0,9.0,4.0,14.0,0.11342448725916718,0.13952765692977004,0.6219178082191781,0.7841409691629956,0.398876404494382,0.1267605633802817,0.0027967681789931634,0.4444444444444444,22.075555555555557,49.67,0.8710978603998597
2026-05-21,Alexandra School,Alexandra,No-Fee Public,Career Day,Close,TikTok,Video,False,Grade 12,Female,True,0.0,0.0,11647,3633.0,699.0,515.0,350.0,183.0,12.0,5.0,33.0,0.0600154546235082,0.31192581780716067,0.7367668097281831,0.6796116504854369,0.5228571428571429,0.06557377049180328,0.0010303082338799692,0.4166666666666667,0.0,0.0,
2026-11-04,Rosebank Academy,Rosebank,Public,Stem Drive,Launch,TikTok,Video,False,Both,Female,False,0.0,0.0,5313,710.0,587.0,0.0,263.0,126.0,10.0,5.0,35.0,0.11048371917937136,0.13363448146056842,0.0,0.0,0.4790874524714829,0.07936507936507936,0.0018821757952192735,0.5,0.0,0.0,
2026-05-26,Rosebank Academy,Rosebank,Public,Literacy Week,Close,Facebook,Video,False,Grade 12,All,False,0.0,0.0,326,18.0,8.0,4.0,2.0,0.0,0.0,0.0,0.0,0.024539877300613498,0.05521472392638037,0.5,0.5,0.0,0.0,0.0,0.0,,,
2026-04-05,Alexandra School,Alexandra,No-Fee Public,Digital Skills Push,Mid,Facebook,Static,False,Grade 12,Male,False,0.0,0.0,1735,66.0,94.0,44.0,31.0,8.0,0.0,0.0,3.0,0.054178674351585014,0.03804034582132565,0.46808510638297873,0.7045454545454546,0.25806451612903225,0.0,0.0,0.0,,,
2026-04-28,Midrand High,Midrand,Public,Digital Skills Push,Mid,TikTok,Video,True,Grade 12,All,False,203.35,215.1,4952,1347.0,475.0,271.0,194.0,0.0,8.0,3.0,16.0,0.09592084006462036,0.2720113085621971,0.5705263157894737,0.7158671586715867,0.0,0.0,0.0016155088852988692,0.375,25.41875,67.78333333333333,0.9453742445374245
2026-05-26,Randburg High,Randburg,Public,Digital Skills Push,Close,TikTok,Video,True,Both,All,True,71.76,78.34,3017,733.0,377.0,272.0,220.0,103.0,9.0,3.0,19.0,0.12495856811402055,0.24295657938349355,0.7214854111405835,0.8088235294117647,0.4681818181818182,0.08737864077669903,0.0029830957905203847,0.3333333333333333,7.973333333333334,23.92,0.916007148327802
2026-04-13,Alexandra School,Alexandra,No-Fee Public,Stem Drive,Launch,TikTok,Story,True,Grade 11,All,True,634.77,690.89,19955,2145.0,2915.0,0.0,1292.0,576.0,45.0,24.0,0.0,0.14607867702330243,0.10749185667752444,0.0,0.0,0.4458204334365325,0.078125,0.0022550739163117012,0.5333333333333333,14.106,26.44875,0.9187714397371506
2026-04-03,Randburg High,Randburg,Public,Digital Skills Push,Launch,WhatsApp,Static,True,Grade 12,Male,False,57.45,54.55,1937,615.0,456.0,261.0,217.0,109.0,12.0,5.0,15.0,0.23541559112028912,0.3175012906556531,0.5723684210526315,0.8314176245210728,0.5023041474654378,0.11009174311926606,0.00619514713474445,0.4166666666666667,4.7875000000000005,11.49,1.0531622364802935
2026-01-06,Rosebank Academy,Rosebank,Public,Career Day,Close,TikTok,Video,True,Grade 11,Male,True,141.33,135.07,3223,1085.0,132.0,83.0,62.0,16.0,1.0,0.0,7.0,0.040955631399317405,0.33664287930499537,0.6287878787878788,0.7469879518072289,0.25806451612903225,0.0625,0.00031026993484331366,0.0,141.33,,1.0463463389353669
2026-05-03,Rosebank Academy,Rosebank,Public,Stem Drive,Mid,TikTok,Video,True,Grade 11,All,False,131.3,114.44,3850,1094.0,0.0,220.0,130.0,45.0,5.0,2.0,15.0,0.0,0.28415584415584416,0.0,0.5909090909090909,0.34615384615384615,0.1111111111111111,0.0012987012987012987,0.4,26.26,65.65,1.1473261097518352
2026-05-12,Alexandra School,Alexandra,No-Fee Public,Career Day,Mid,Instagram,Static,False,Both,Male,True,0.0,0.0,3288,255.0,326.0,217.0,183.0,81.0,0.0,0.0,19.0,0.09914841849148419,0.07755474452554745,0.6656441717791411,0.8433179723502304,0.4426229508196721,0.0,0.0,0.0,,,
2026-07-06,Rosebank Academy,Rosebank,Public,Digital Skills Push,Close,WhatsApp,Carousel,True,Grade 12,Male,False,35.43,40.15,2891,883.0,0.0,597.0,331.0,103.0,9.0,3.0,65.0,0.0,0.3054306468350052,0.0,0.5544388609715243,0.311178247734139,0.08737864077669903,0.003113109650639917,0.3333333333333333,3.9366666666666665,11.81,0.8824408468244085
2026-04-25,Rosebank Academy,Rosebank,Public,Literacy Week,Mid,TikTok,Video,True,Both,All,False,137.78,159.54,3152,1240.0,343.0,188.0,131.0,70.0,14.0,8.0,24.0,0.10881979695431472,0.3934010152284264,0.5481049562682215,0.6968085106382979,0.5343511450381679,0.2,0.004441624365482234,0.5714285714285714,9.84142857142857,17.2225,0.8636078726338223
2026-04-30,Sandton College,Sandton,Public,Digital Skills Push,Mid,TikTok,Video,False,Grade 11,Female,True,0.0,0.0,2968,595.0,338.0,206.0,167.0,51.0,10.0,6.0,21.0,0.11388140161725067,0.20047169811320756,0.6094674556213018,0.8106796116504854,0.30538922155688625,0.19607843137254902,0.0033692722371967657,0.6,0.0,0.0,
2026-05-02,Randburg High,Randburg,Public,Literacy Week,Mid,WhatsApp,Static,True,Grade 12,Female,False,15.24,16.81,585,159.0,105.0,49.0,31.0,8.0,2.0,1.0,2.0,0.1794871794871795,0.2717948717948718,0.4666666666666667,0.6326530612244898,0.25806451612903225,0.25,0.003418803418803419,0.5,7.62,15.24,0.9066032123735872
2026-04-04,Sandton College,Sandton,Public,Literacy Week,Launch,TikTok,Video,False,Grade 11,All,False,0.0,0.0,976,138.0,0.0,52.0,28.0,0.0,0.0,0.0,3.0,0.0,0.1413934426229508,0.0,0.5384615384615384,0.0,0.0,0.0,0.0,,,
2026-04-14,Alexandra School,Alexandra,No-Fee Public,Digital Skills Push,Launch,TikTok,Video,True,Grade 11,Male,False,545.35,539.3,20438,4739.0,1730.0,1034.0,875.0,278.0,14.0,9.0,119.0,0.08464624718661318,0.23187200313142187,0.5976878612716763,0.8462282398452611,0.3177142857142857,0.050359712230215826,0.0006849985321460025,0.6428571428571429,38.95357142857143,60.59444444444445,1.0112182458742816
2026-05-18,Brixton High,Johannesburg South,Public,Stem Drive,Close,TikTok,Video,True,Both,Female,False,941.11,978.81,34844,11060.0,2081.0,1451.0,804.0,250.0,18.0,11.0,191.0,0.05972333830788658,0.31741476294340487,0.6972609322441135,0.5541006202618883,0.31094527363184077,0.072,0.0005165882217885433,0.6111111111111112,52.28388888888889,85.55545454545455,0.9614838426252287
2026-04-24,Sandton College,Sandton,Public,Career Day,Mid,Facebook,Static,False,Both,Female,False,0.0,0.0,1264,52.0,42.0,24.0,15.0,4.0,0.0,0.0,3.0,0.03322784810126582,0.04113924050632911,0.5714285714285714,0.625,0.26666666666666666,0.0,0.0,0.0,,,
2026-04-20,Brixton High,Johannesburg South,Public,Stem Drive,Mid,WhatsApp,Static,True,Grade 12,Male,False,44.27,42.66,2016,397.0,348.0,186.0,107.0,55.0,14.0,9.0,19.0,0.17261904761904762,0.19692460317460317,0.5344827586206896,0.5752688172043011,0.514018691588785,0.2545454545454545,0.006944444444444444,0.6428571428571429,3.1621428571428574,4.9188888888888895,1.0377402719174873
2026-04-03,Sandton College,Sandton,Public,Digital Skills Push,Launch,Instagram,Video,False,Grade 12,Female,False,0.0,0.0,3379,508.0,351.0,220.0,160.0,54.0,6.0,3.0,21.0,0.10387688665285587,0.15034033737792246,0.6267806267806267,0.7272727272727273,0.3375,0.1111111111111111,0.0017756732761171944,0.5,0.0,0.0,
2026-05-29,Rosebank Academy,Rosebank,Public,Digital Skills Push,Close,Facebook,Carousel,True,Grade 11,Male,False,149.43,157.1,3523,216.0,153.0,102.0,74.0,29.0,2.0,0.0,0.0,0.043428895827419815,0.06131138234459268,0.6666666666666666,0.7254901960784313,0.3918918918918919,0.06896551724137931,0.0005676979846721544,0.0,74.715,,0.9511775938892426
2026-06-08,Rosebank Academy,Rosebank,Public,Career Day,Close,Instagram,Static,False,Both,Male,False,0.0,0.0,9742,672.0,666.0,374.0,295.0,129.0,10.0,5.0,33.0,0.06836378567029358,0.06897967563128721,0.5615615615615616,0.7887700534759359,0.43728813559322033,0.07751937984496124,0.0010264832683227264,0.5,0.0,0.0,
2026-05-01,Soweto Academy,Soweto,No-Fee Public,Digital Skills Push,Mid,Facebook,Static,True,Both,Male,False,133.61,146.58,2704,88.0,153.0,65.0,38.0,10.0,0.0,0.0,7.0,0.05658284023668639,0.03254437869822485,0.42483660130718953,0.5846153846153846,0.2631578947368421,0.0,0.0,0.0,,,0.9115158957565834
2026-02-06,Alexandra School,Alexandra,No-Fee Public,Career Day,Close,Facebook,Static,False,Grade 11,Female,False,0.0,0.0,4683,183.0,329.0,187.0,107.0,27.0,1.0,0.0,14.0,0.07025411061285501,0.039077514413837285,0.5683890577507599,0.5721925133689839,0.2523364485981308,0.037037037037037035,0.00021353833013025838,0.0,0.0,,
2026-04-10,Midrand High,Midrand,Public,Stem Drive,Launch,WhatsApp,Static,False,Grade 11,Female,True,0.0,0.0,200,27.0,63.0,27.0,21.0,6.0,0.0,0.0,3.0,0.315,0.135,0.42857142857142855,0.7777777777777778,0.2857142857142857,0.0,0.0,0.0,,,
2026-05-30,Rosebank Academy,Rosebank,Public,Career Day,Close,TikTok,Carousel,False,Grade 11,Female,True,0.0,0.0,8992,2398.0,1179.0,785.0,591.0,0.0,30.0,14.0,71.0,0.13111654804270462,0.2666814946619217,0.6658184902459712,0.7528662420382166,0.0,0.0,0.0033362989323843417,0.4666666666666667,0.0,0.0,
2026-06-12,Midrand High,Midrand,Public,Literacy Week,Close,Instagram,Carousel,True,Grade 12,Male,False,232.26,208.04,4517,863.0,455.0,324.0,252.0,66.0,10.0,6.0,16.0,0.10073057338941775,0.19105601062652203,0.7120879120879121,0.7777777777777778,0.2619047619047619,0.15151515151515152,0.002213858755811379,0.6,23.226,38.71,1.1164199192462987
2026-04-30,Rosebank Academy,Rosebank,Public,Stem Drive,Mid,Instagram,Carousel,True,Both,Male,True,116.09,101.84,2804,414.0,215.0,119.0,65.0,22.0,2.0,1.0,14.0,0.07667617689015692,0.14764621968616262,0.5534883720930233,0.5462184873949579,0.3384615384615385,0.09090909090909091,0.0007132667617689016,0.5,58.045,116.09,1.1399253731343284
2026-05-05,Alexandra School,Alexandra,No-Fee Public,Stem Drive,Mid,WhatsApp,Carousel,False,Both,Male,False,0.0,0.0,709,318.0,95.0,42.0,32.0,11.0,0.0,0.0,3.0,0.13399153737658676,0.44851904090267986,0.4421052631578947,0.7619047619047619,0.34375,0.0,0.0,0.0,,,
2026-03-05,Brixton High,Johannesburg South,Public,Stem Drive,Mid,WhatsApp,Carousel,True,Both,All,False,4.86,4.67,282,83.0,87.0,47.0,33.0,9.0,1.0,0.0,2.0,0.30851063829787234,0.29432624113475175,0.5402298850574713,0.7021276595744681,0.2727272727272727,0.1111111111111111,0.0035460992907801418,0.0,4.86,,1.0406852248394005
2026-04-16,Brixton High,Johannesburg South,Public,Literacy Week,Mid,Instagram,Video,True,Grade 11,All,False,244.3,262.65,4483,560.0,311.0,228.0,141.0,45.0,7.0,3.0,25.0,0.0693731875975909,0.12491635065804149,0.7331189710610932,0.618421052631579,0.3191489361702128,0.15555555555555556,0.0015614543832255187,0.42857142857142855,34.9,81.43333333333334,0.9301351608604608
2026-05-19,Randburg High,Randburg,Public,Literacy Week,Close,Instagram,Video,True,Grade 12,Female,False,447.83,458.42,8320,1391.0,291.0,203.0,121.0,35.0,6.0,4.0,23.0,0.03497596153846154,0.1671875,0.697594501718213,0.5960591133004927,0.2892561983471074,0.17142857142857143,0.0007211538461538462,0.6666666666666666,74.63833333333334,111.9575,0.9768989136599624
2026-05-16,Soweto Academy,Soweto,No-Fee Public,Stem Drive,Close,WhatsApp,Static,True,Grade 11,All,False,60.8,68.8,4475,1415.0,1514.0,642.0,442.0,147.0,10.0,4.0,0.0,0.3383240223463687,0.31620111731843575,0.4240422721268164,0.6884735202492211,0.332579185520362,0.06802721088435375,0.0022346368715083797,0.4,6.08,15.2,0.8837209302325582
2026-04-17,Midrand High,Midrand,Public,Career Day,Mid,TikTok,Video,False,Both,Male,True,0.0,0.0,2058,695.0,105.0,61.0,37.0,14.0,1.0,0.0,7.0,0.05102040816326531,0.33770651117589895,0.580952380952381,0.6065573770491803,0.3783783783783784,0.07142857142857142,0.00048590864917395527,0.0,0.0,,
