date,school,district,school_type,campaign,campaign_phase,platform,content_type,boosted,target_grade,target_gender,on_ground_support,spend_zar,budget_allocated_zar,impressions,engagements,clicks,link_clicks,page_views,form_starts,registrations,confirmed_enrollments,counsellor_referrals
2026-04-05,Soweto Academy,Soweto,No-Fee Public,stem drive,Launch,TT,Video,False,Grade 12,Female,False,0.0,0.0,2186,524.0,323.0,189.0,157.0,,4.0,1.0,27.0
2026/05/04,rosebank academy,Rosebank,Public,STEM Drive,Mid,facebook,Story,True,Grade 12,All,False,68.7,65.83,2020,98.0,89.0,44.0,25.0,9.0,2.0,1.0,6.0
21-04-2026,sandton college,Sandton,Public,Career Day,Mid,fb,Static,False,Grade 12,Male,False,0.0,0.0,1625,44.0,34.0,16.0,11.0,5.0,0.0,0.0,1.0
2026/04/04,RANDBURG HIGH,Randburg,Public,Career Day,Launch,whatsapp,Static,False,Both,All,False,0.0,0.0,200,52.0,45.0,31.0,22.0,11.0,1.0,0.0,2.0
08/05/2026,midrand high,Midrand,Public,digital skills push,Mid,facebook,Carousel,True,Grade 11,Female,False,,24.3,820,59.0,39.0,28.0,17.0,6.0,0.0,,2.0
26/04/2026,ALEXANDRA SCHOOL,Alexandra,No-Fee Public,CAREER DAY,Mid,Instagram,Video,True,Grade 12,Male,True,107.58,120.11,2401,335.0,,161.0,100.0,27.0,2.0,1.0,24.0
2026-04-22,RANDBURG HIGH,Randburg,Public,LITERACY WEEK,Mid,TT,Story,False,Both,Male,True,0.0,0.0,1194,317.0,,88.0,58.0,30.0,4.0,,11.0
24-05-2026,Midrand High,Midrand,Public,CAREER DAY,Close,WA,Static,True,Grade 12,All,True,37.6,40.07,1634,496.0,479.0,269.0,214.0,91.0,14.0,6.0,38.0
2026/04/07,alexandra school,Alexandra,No-Fee Public,career day,Launch,tiktok,Carousel,False,Grade 12,All,False,0.0,0.0,1341,383.0,67.0,31.0,23.0,7.0,0.0,0.0,3.0
26/05/2026,Randburg High,Randburg,Public,literacy week,Close,Instagram,Video,True,Grade 12,Male,False,38.26,33.25,1052,127.0,120.0,,57.0,16.0,1.0,0.0,7.0
18/05/2026,Randburg High,Randburg,Public,DIGITAL SKILLS PUSH,Close,TT,Video,False,Grade 12,Female,False,0.0,,18255,5529.0,2216.0,1621.0,992.0,310.0,52.0,23.0,109.0
08-04-2026,Randburg High,Randburg,Public,stem drive,Launch,WA,Carousel,False,Grade 11,Female,True,0.0,0.0,567,229.0,137.0,68.0,39.0,17.0,1.0,0.0,6.0
2026-04-27,brixton high,Johannesburg South,Public,stem drive,Mid,whatsapp,Static,False,Grade 12,Male,False,0.0,0.0,697,149.0,140.0,,41.0,12.0,,1.0,8.0
02/04/2026,midrand high,Midrand,Public,digital skills push,Launch,IG,Carousel,False,Grade 12,Female,False,0.0,0.0,677,123.0,63.0,32.0,17.0,6.0,0.0,0.0,1.0
07/06/2026,RANDBURG HIGH,Randburg,Public,digital skills push,Close,Facebook,Static,False,Grade 11,Female,False,0.0,0.0,866,55.0,40.0,22.0,14.0,6.0,0.0,0.0,3.0
26-05-2026,,Alexandra,No-Fee Public,Literacy Week,Close,instagram,Carousel,True,Both,Female,True,407.48,357.03,6357,1139.0,342.0,211.0,141.0,38.0,2.0,1.0,21.0
2026-05-24,brixton high,Johannesburg South,Public,CAREER DAY,Close,fb,Carousel,True,Grade 12,Female,False,52.58,47.82,1078,33.0,77.0,47.0,29.0,15.0,1.0,0.0,3.0
2026/05/04,Midrand High,Midrand,Public,CAREER DAY,Mid,tiktok,Video,True,Grade 12,All,False,314.02,329.12,11690,3807.0,1425.0,594.0,434.0,173.0,46.0,22.0,77.0
2026-05-30,Rosebank Academy,Rosebank,Public,STEM Drive,Close,Insta,Carousel,True,Grade 12,Male,False,154.43,158.39,3359,315.0,150.0,,89.0,48.0,5.0,3.0,13.0
02/05/2026,randburg high,Randburg,Public,LITERACY WEEK,Mid,Insta,Carousel,True,Both,All,False,214.36,217.04,3965,657.0,350.0,154.0,86.0,22.0,4.0,1.0,11.0
10/04/2026,Midrand High,Midrand,Public,STEM drive,Launch,Facebook,Static,True,Both,All,False,38.12,43.72,1330,55.0,79.0,49.0,35.0,8.0,0.0,0.0,3.0
01/05/2026,,Randburg,Public,STEM drive,Mid,IG,Video,False,Grade 11,Female,True,0.0,0.0,12926,917.0,1250.0,730.0,564.0,221.0,45.0,24.0,44.0
07-04-2026,Alexandra School,Alexandra,No-Fee Public,stem drive,Launch,Insta,Static,False,Both,All,True,0.0,0.0,2411,213.0,165.0,111.0,64.0,28.0,2.0,1.0,15.0
2026-04-22,brixton high,Johannesburg South,Public,literacy week,Mid,TikTok,Video,True,Both,All,True,74.51,82.9,2034,773.0,242.0,178.0,129.0,45.0,9.0,,20.0
2026-04-06,Randburg High,Randburg,Public,LITERACY WEEK,Launch,Instagram,Static,True,Grade 12,Female,True,436.01,381.23,7968,916.0,935.0,404.0,286.0,103.0,15.0,6.0,32.0
2026/04/13,Rosebank Academy,Rosebank,Public,DIGITAL SKILLS PUSH,Launch,Facebook,Carousel,True,Both,Male,False,23.93,22.48,822,42.0,16.0,10.0,6.0,2.0,0.0,0.0,1.0
12/04/2026,Sandton College,Sandton,Public,digital skills push,Launch,Facebook,Static,False,Grade 11,Female,False,0.0,0.0,1583,55.0,63.0,28.0,19.0,5.0,0.0,0.0,2.0
2026-04-08,alexandra school,Alexandra,No-Fee Public,LITERACY WEEK,Launch,fb,Video,True,Grade 12,All,True,16.37,15.69,407,31.0,9.0,6.0,3.0,1.0,0.0,0.0,0.0
04/06/2026,brixton high,Johannesburg South,Public,STEM drive,Close,WhatsApp,Static,True,Both,Male,False,12.18,13.25,478,62.0,123.0,63.0,40.0,16.0,1.0,0.0,8.0
2026/05/06,SANDTON COLLEGE,Sandton,Public,career day,Mid,WhatsApp,Video,False,Grade 12,Male,False,0.0,0.0,763,457.0,105.0,52.0,40.0,16.0,3.0,1.0,5.0
2026/05/12,SOWETO ACADEMY,Soweto,No-Fee Public,DIGITAL SKILLS PUSH,Mid,TT,Video,True,Grade 12,Male,False,642.42,609.41,20367,4777.0,1996.0,1473.0,1171.0,574.0,44.0,20.0,168.0
12-04-2026,soweto academy,Soweto,No-Fee Public,Career Day,Launch,WhatsApp,Static,False,Grade 11,Female,True,0.0,0.0,749,215.0,196.0,132.0,78.0,26.0,1.0,,8.0
2026-04-09,randburg high,Randburg,Public,Digital Skills Push,Launch,Insta,Story,True,Both,All,False,143.98,144.01,3663,,189.0,103.0,77.0,21.0,2.0,0.0,10.0
28-05-2026,,Johannesburg South,Public,LITERACY WEEK,Close,Facebook,Video,False,Both,Female,False,0.0,0.0,1052,,80.0,33.0,20.0,9.0,1.0,0.0,2.0
07-05-2026,soweto academy,Soweto,No-Fee Public,STEM drive,Mid,whatsapp,Static,False,Both,Female,False,0.0,0.0,236,67.0,55.0,,16.0,7.0,0.0,0.0,2.0
01/04/2026,brixton high,Johannesburg South,Public,STEM drive,Launch,WhatsApp,Video,True,Both,Female,False,7.51,7.57,575,209.0,121.0,51.0,30.0,10.0,0.0,0.0,7.0
10-06-2026,Rosebank Academy,Rosebank,Public,DIGITAL SKILLS PUSH,Close,IG,Story,True,Grade 12,All,True,198.68,228.08,3218,449.0,365.0,227.0,178.0,71.0,9.0,4.0,14.0
21/05/2026,alexandra school,Alexandra,No-Fee Public,Career Day,Close,tiktok,Video,False,Grade 12,Female,True,0.0,0.0,11647,3633.0,699.0,515.0,350.0,183.0,12.0,5.0,33.0
2026/04/11,ROSEBANK ACADEMY,Rosebank,Public,stem drive,Launch,TikTok,Video,False,Both,Female,False,0.0,0.0,5313,710.0,587.0,,263.0,126.0,10.0,5.0,35.0
2026/05/26,Rosebank Academy,Rosebank,Public,literacy week,Close,fb,Video,False,Grade 12,All,False,0.0,0.0,326,18.0,8.0,4.0,2.0,0.0,0.0,,0.0
2026-05-04,Alexandra School,Alexandra,No-Fee Public,digital skills push,Mid,facebook,Static,False,Grade 12,Male,False,0.0,0.0,1735,66.0,94.0,44.0,31.0,8.0,,0.0,3.0
2026/04/28,MIDRAND HIGH,Midrand,Public,DIGITAL SKILLS PUSH,Mid,TikTok,Video,True,Grade 12,All,False,203.35,215.1,4952,1347.0,475.0,271.0,194.0,,8.0,3.0,16.0
26-05-2026,RANDBURG HIGH,Randburg,Public,Digital Skills Push,Close,tiktok,Video,True,Both,All,True,71.76,78.34,3017,733.0,377.0,272.0,220.0,103.0,9.0,3.0,19.0
10/06/2026,,Alexandra,No-Fee Public,LITERACY WEEK,Close,TikTok,Story,True,Grade 12,All,False,358.34,421.69,12477,2983.0,874.0,386.0,290.0,105.0,13.0,8.0,56.0
2026/04/13,alexandra school,Alexandra,No-Fee Public,STEM Drive,Launch,TikTok,Story,True,Grade 11,All,True,634.77,690.89,19955,2145.0,2915.0,,1292.0,576.0,45.0,24.0,
03-04-2026,RANDBURG HIGH,Randburg,Public,Digital Skills Push,Launch,WhatsApp,Static,True,Grade 12,Male,False,57.45,54.55,1937,615.0,456.0,261.0,217.0,109.0,12.0,5.0,15.0
2026/06/01,ROSEBANK ACADEMY,Rosebank,Public,career day,Close,tiktok,Video,True,Grade 11,Male,True,141.33,135.07,3223,1085.0,132.0,83.0,62.0,16.0,1.0,0.0,7.0
03-05-2026,Rosebank Academy,Rosebank,Public,stem drive,Mid,TikTok,Video,True,Grade 11,All,False,131.3,114.44,3850,1094.0,,220.0,130.0,45.0,5.0,2.0,15.0
12-05-2026,alexandra school,Alexandra,No-Fee Public,CAREER DAY,Mid,instagram,Static,False,Both,Male,True,0.0,0.0,3288,255.0,326.0,217.0,183.0,81.0,,,19.0
2026-06-07,Rosebank Academy,Rosebank,Public,digital skills push,Close,whatsapp,Carousel,True,Grade 12,Male,False,35.43,40.15,2891,883.0,,597.0,331.0,103.0,9.0,3.0,65.0
25-04-2026,rosebank academy,Rosebank,Public,literacy week,Mid,TikTok,Video,True,Both,All,False,137.78,159.54,3152,1240.0,343.0,188.0,131.0,70.0,14.0,8.0,24.0
30/04/2026,sandton college,Sandton,Public,Digital Skills Push,Mid,TikTok,Video,False,Grade 11,Female,True,0.0,0.0,2968,595.0,338.0,206.0,167.0,51.0,10.0,6.0,21.0
02-05-2026,randburg high,Randburg,Public,literacy week,Mid,WhatsApp,Static,True,Grade 12,Female,False,15.24,16.81,585,159.0,105.0,49.0,31.0,8.0,2.0,1.0,2.0
04-04-2026,sandton college,Sandton,Public,LITERACY WEEK,Launch,TT,Video,False,Grade 11,All,False,0.0,0.0,976,138.0,,52.0,28.0,,0.0,0.0,3.0
2026-04-14,Alexandra School,Alexandra,No-Fee Public,digital skills push,Launch,TT,Video,True,Grade 11,Male,False,545.35,539.3,20438,4739.0,1730.0,1034.0,875.0,278.0,14.0,9.0,119.0
2026/05/18,Brixton High,Johannesburg South,Public,STEM drive,Close,tiktok,Video,True,Both,Female,False,941.11,978.81,34844,11060.0,2081.0,1451.0,804.0,250.0,18.0,11.0,191.0
24/04/2026,SANDTON COLLEGE,Sandton,Public,career day,Mid,Facebook,Static,False,Both,Female,False,0.0,0.0,1264,52.0,42.0,24.0,15.0,4.0,0.0,0.0,3.0
20-04-2026,Brixton High,Johannesburg South,Public,stem drive,Mid,whatsapp,Static,True,Grade 12,Male,False,44.27,42.66,2016,397.0,348.0,186.0,107.0,55.0,14.0,9.0,19.0
03-04-2026,sandton college,Sandton,Public,DIGITAL SKILLS PUSH,Launch,Insta,Video,False,Grade 12,Female,False,0.0,0.0,3379,508.0,351.0,220.0,160.0,54.0,6.0,3.0,21.0
02-06-2026,,Randburg,Public,career day,Close,WA,Carousel,True,Grade 12,All,False,22.57,20.28,962,260.0,156.0,70.0,47.0,17.0,2.0,,7.0
2026-05-29,Rosebank Academy,Rosebank,Public,DIGITAL SKILLS PUSH,Close,Facebook,Carousel,True,Grade 11,Male,False,149.43,157.1,3523,216.0,153.0,102.0,74.0,29.0,2.0,0.0,
08/06/2026,rosebank academy,Rosebank,Public,career day,Close,Instagram,Static,False,Both,Male,False,0.0,0.0,9742,672.0,666.0,374.0,295.0,129.0,10.0,5.0,33.0
01-05-2026,soweto academy,Soweto,No-Fee Public,DIGITAL SKILLS PUSH,Mid,facebook,Static,True,Both,Male,False,133.61,146.58,2704,88.0,153.0,65.0,38.0,10.0,0.0,0.0,7.0
2026/06/02,Alexandra School,Alexandra,No-Fee Public,CAREER DAY,Close,fb,Static,False,Grade 11,Female,False,0.0,0.0,4683,183.0,329.0,187.0,107.0,27.0,1.0,0.0,14.0
10-04-2026,Midrand High,Midrand,Public,STEM Drive,Launch,WhatsApp,Static,False,Grade 11,Female,True,0.0,0.0,200,27.0,63.0,27.0,21.0,6.0,0.0,0.0,3.0
2026-05-30,ROSEBANK ACADEMY,Rosebank,Public,Career Day,Close,tiktok,Carousel,False,Grade 11,Female,True,0.0,0.0,8992,2398.0,1179.0,785.0,591.0,,30.0,14.0,71.0
12/06/2026,midrand high,Midrand,Public,literacy week,Close,instagram,Carousel,True,Grade 12,Male,False,232.26,208.04,4517,863.0,455.0,324.0,252.0,66.0,10.0,6.0,16.0
2026-04-30,Rosebank Academy,Rosebank,Public,STEM drive,Mid,Instagram,Carousel,True,Both,Male,True,116.09,101.84,2804,414.0,215.0,119.0,65.0,22.0,2.0,1.0,14.0
2026-05-05,Alexandra School,Alexandra,No-Fee Public,STEM drive,Mid,WA,Carousel,False,Both,Male,False,0.0,0.0,709,318.0,95.0,42.0,32.0,11.0,0.0,0.0,3.0
2026-05-03,Brixton High,Johannesburg South,Public,STEM Drive,Mid,WhatsApp,Carousel,True,Both,All,False,4.86,4.67,282,83.0,87.0,47.0,33.0,9.0,1.0,0.0,2.0
2026/04/16,BRIXTON HIGH,Johannesburg South,Public,LITERACY WEEK,Mid,instagram,Video,True,Grade 11,All,False,244.3,262.65,4483,560.0,311.0,228.0,141.0,45.0,7.0,3.0,25.0
19/05/2026,RANDBURG HIGH,Randburg,Public,Literacy Week,Close,Instagram,Video,True,Grade 12,Female,False,447.83,458.42,8320,1391.0,291.0,203.0,121.0,35.0,6.0,4.0,23.0
2026/05/16,Soweto Academy,Soweto,No-Fee Public,stem drive,Close,WA,Static,True,Grade 11,All,False,60.8,68.8,4475,1415.0,1514.0,642.0,442.0,147.0,10.0,4.0,
2026-04-17,Midrand High,Midrand,Public,CAREER DAY,Mid,tiktok,Video,False,Both,Male,True,0.0,0.0,2058,695.0,105.0,61.0,37.0,14.0,1.0,0.0,7.0
26/04/2026,sandton college,Sandton,Public,stem drive,Mid,Facebook,Carousel,False,Grade 12,All,False,0.0,0.0,701,72.0,19.0,12.0,6.0,1.0,0.0,0.0,0.0
2026-05-06,MIDRAND HIGH,Midrand,Public,Career Day,Mid,Facebook,Story,False,Grade 11,Female,False,0.0,0.0,896,24.0,60.0,26.0,14.0,6.0,0.0,0.0,
28/04/2026,ALEXANDRA SCHOOL,Alexandra,No-Fee Public,DIGITAL SKILLS PUSH,Mid,WhatsApp,Static,True,Grade 12,Male,False,40.64,36.66,2148,521.0,546.0,342.0,239.0,123.0,14.0,5.0,30.0
04-04-2026,midrand high,Midrand,Public,Literacy Week,Launch,TikTok,Video,True,Grade 11,Female,False,405.85,486.96,10361,4270.0,528.0,332.0,209.0,103.0,10.0,4.0,49.0
12/04/2026,Randburg High,Randburg,Public,digital skills push,Launch,Facebook,Video,False,Grade 11,Male,True,0.0,0.0,876,82.0,59.0,30.0,18.0,8.0,1.0,0.0,1.0
2026/06/04,ROSEBANK ACADEMY,Rosebank,Public,LITERACY WEEK,Close,TikTok,Video,True,Both,Female,False,282.21,307.88,10199,1613.0,1225.0,896.0,747.0,274.0,45.0,31.0,47.0
05/05/2026,Soweto Academy,Soweto,No-Fee Public,Digital Skills Push,Mid,IG,Video,True,Grade 11,Female,True,,192.27,3731,983.0,408.0,233.0,154.0,63.0,3.0,1.0,31.0
2026-04-19,,Alexandra,No-Fee Public,Digital Skills Push,Mid,IG,Static,True,Both,Female,True,386.16,422.47,9488,1070.0,907.0,447.0,283.0,90.0,6.0,3.0,59.0
09-04-2026,MIDRAND HIGH,Midrand,Public,Digital Skills Push,Launch,facebook,Static,False,Grade 11,Female,False,0.0,0.0,763,32.0,25.0,12.0,6.0,2.0,0.0,0.0,1.0
28-05-2026,ALEXANDRA SCHOOL,Alexandra,No-Fee Public,stem drive,Close,Insta,Carousel,False,Grade 11,Male,True,0.0,,1817,220.0,217.0,134.0,107.0,35.0,3.0,2.0,7.0
2026/05/31,,Johannesburg South,Public,career day,Close,IG,Story,True,Grade 12,Female,False,171.09,155.74,3478,335.0,297.0,189.0,126.0,46.0,9.0,5.0,10.0
2026-04-21,,Midrand,Public,Career Day,Mid,tiktok,Story,True,Grade 12,All,False,28.17,31.75,1316,122.0,155.0,83.0,65.0,,5.0,2.0,11.0
2026-05-12,randburg high,Randburg,Public,DIGITAL SKILLS PUSH,Mid,Facebook,Static,False,Grade 12,All,True,0.0,,1697,108.0,113.0,53.0,32.0,10.0,1.0,0.0,5.0
2026/04/25,soweto academy,Soweto,No-Fee Public,STEM drive,Mid,whatsapp,Static,False,Both,Female,True,0.0,0.0,798,229.0,,116.0,73.0,33.0,3.0,1.0,
06/06/2026,midrand high,Midrand,Public,Literacy Week,Close,fb,Carousel,False,Both,Male,False,0.0,0.0,1344,112.0,82.0,51.0,35.0,18.0,1.0,0.0,3.0
25-04-2026,RANDBURG HIGH,Randburg,Public,literacy week,Mid,Facebook,Carousel,True,Grade 11,Female,False,98.67,100.18,2262,91.0,61.0,38.0,26.0,9.0,,0.0,5.0
08/06/2026,Sandton College,Sandton,Public,stem drive,Close,whatsapp,Static,True,Grade 11,All,False,8.99,7.66,460,104.0,130.0,95.0,77.0,36.0,3.0,1.0,4.0
2026/06/13,ROSEBANK ACADEMY,Rosebank,Public,STEM drive,Close,Facebook,Static,False,Grade 11,Male,False,0.0,0.0,956,,26.0,17.0,12.0,3.0,0.0,0.0,0.0
2026/04/21,ROSEBANK ACADEMY,Rosebank,Public,Career Day,Mid,Facebook,Video,False,Both,Female,False,0.0,0.0,1018,85.0,58.0,28.0,,8.0,1.0,0.0,3.0
05/06/2026,brixton high,Johannesburg South,Public,career day,Close,IG,Static,True,Grade 12,Female,True,166.41,191.09,2718,196.0,247.0,135.0,78.0,39.0,10.0,4.0,8.0
02-04-2026,,Rosebank,Public,stem drive,Launch,IG,Static,True,Grade 11,Male,False,,243.5,4816,358.0,299.0,122.0,92.0,46.0,4.0,1.0,17.0
2026/04/30,Alexandra School,Alexandra,No-Fee Public,career day,Mid,WhatsApp,Carousel,False,Grade 12,All,True,0.0,0.0,882,420.0,100.0,62.0,37.0,18.0,3.0,1.0,3.0
25-04-2026,MIDRAND HIGH,Midrand,Public,CAREER DAY,Mid,Insta,Video,False,Both,Male,False,0.0,0.0,13327,3290.0,1074.0,675.0,463.0,163.0,31.0,19.0,
13-06-2026,sandton college,Sandton,Public,DIGITAL SKILLS PUSH,Close,TikTok,Carousel,True,Grade 12,Male,True,279.26,,6761,1987.0,412.0,213.0,165.0,43.0,9.0,5.0,13.0
2026/05/01,SANDTON COLLEGE,Sandton,Public,stem drive,Mid,instagram,Static,False,Grade 12,All,False,0.0,0.0,3077,184.0,202.0,105.0,67.0,32.0,4.0,2.0,14.0
2026/04/24,Soweto Academy,Soweto,No-Fee Public,CAREER DAY,Mid,facebook,Static,True,Both,All,False,98.45,112.88,2932,179.0,150.0,61.0,36.0,16.0,1.0,0.0,4.0
08/06/2026,ALEXANDRA SCHOOL,Alexandra,No-Fee Public,literacy week,Close,Insta,Carousel,False,Both,Female,True,0.0,0.0,434,84.0,46.0,25.0,15.0,6.0,0.0,0.0,2.0
2026-05-01,SOWETO ACADEMY,Soweto,No-Fee Public,CAREER DAY,Mid,fb,Story,False,Grade 11,Male,False,0.0,0.0,1311,103.0,49.0,33.0,23.0,6.0,0.0,0.0,4.0
01-05-2026,,Randburg,Public,CAREER DAY,Mid,instagram,Carousel,False,Both,All,True,0.0,0.0,2576,288.0,261.0,114.0,71.0,33.0,3.0,1.0,14.0
05-04-2026,rosebank academy,Rosebank,Public,digital skills push,Launch,Insta,Story,False,Both,Female,False,0.0,0.0,22402,2336.0,,577.0,326.0,159.0,,8.0,41.0
2026/06/06,Alexandra School,Alexandra,No-Fee Public,CAREER DAY,Close,Facebook,Carousel,False,Grade 11,Female,True,0.0,,1148,73.0,59.0,26.0,17.0,8.0,0.0,0.0,1.0
2026/04/06,Rosebank Academy,Rosebank,Public,STEM Drive,Launch,TikTok,Video,True,Grade 12,Male,False,219.3,244.05,10267,4281.0,1030.0,644.0,368.0,166.0,14.0,6.0,69.0
23/04/2026,MIDRAND HIGH,Midrand,Public,STEM drive,Mid,Instagram,Static,False,Both,All,False,0.0,0.0,2365,163.0,173.0,96.0,75.0,29.0,2.0,,5.0
20/04/2026,ALEXANDRA SCHOOL,Alexandra,No-Fee Public,DIGITAL SKILLS PUSH,Mid,TikTok,Video,False,Both,All,True,0.0,0.0,1006,230.0,41.0,19.0,15.0,8.0,,0.0,1.0
28/05/2026,SOWETO ACADEMY,Soweto,No-Fee Public,digital skills push,Close,whatsapp,Static,True,Grade 11,All,False,77.65,88.69,2920,,689.0,317.0,236.0,84.0,5.0,3.0,32.0
2026/04/20,Alexandra School,Alexandra,No-Fee Public,career day,Mid,TT,Video,False,Grade 11,Female,False,0.0,0.0,8325,2025.0,556.0,247.0,179.0,51.0,3.0,2.0,15.0
29/05/2026,SANDTON COLLEGE,Sandton,Public,digital skills push,Close,TT,Static,False,Grade 11,All,False,0.0,0.0,8691,1186.0,912.0,438.0,291.0,82.0,5.0,,43.0
24-04-2026,rosebank academy,Rosebank,Public,DIGITAL SKILLS PUSH,Mid,WA,Video,True,Both,Female,False,14.03,14.82,796,400.0,,148.0,85.0,24.0,3.0,1.0,20.0
2026-05-06,SOWETO ACADEMY,Soweto,No-Fee Public,LITERACY WEEK,Mid,WhatsApp,Static,False,Both,Female,True,0.0,0.0,1775,344.0,423.0,206.0,132.0,,6.0,3.0,27.0
2026/05/22,,Randburg,Public,STEM drive,Close,WA,Static,True,Grade 11,Female,True,6.33,7.56,358,86.0,,53.0,,20.0,3.0,1.0,4.0
2026-05-02,MIDRAND HIGH,Midrand,Public,Digital Skills Push,Mid,TT,Carousel,True,Grade 11,Male,False,483.68,469.95,13990,4081.0,907.0,668.0,458.0,170.0,10.0,4.0,67.0
2026-04-25,MIDRAND HIGH,Midrand,Public,digital skills push,Mid,IG,Video,False,Grade 12,All,True,0.0,0.0,17525,2569.0,1082.0,635.0,482.0,158.0,33.0,17.0,79.0
2026/06/13,sandton college,Sandton,Public,STEM drive,Close,tiktok,Static,False,Grade 12,Male,True,0.0,0.0,1224,174.0,49.0,34.0,28.0,,2.0,0.0,4.0
26-04-2026,midrand high,Midrand,Public,CAREER DAY,Mid,WhatsApp,Video,True,Both,Male,True,21.87,20.02,803,259.0,134.0,98.0,63.0,19.0,3.0,1.0,12.0
2026/04/23,midrand high,Midrand,Public,career day,Mid,tiktok,Video,True,Both,All,False,,237.62,7861,1055.0,400.0,182.0,111.0,36.0,7.0,3.0,22.0
2026/05/25,ROSEBANK ACADEMY,Rosebank,Public,digital skills push,Close,whatsapp,Static,False,Grade 12,Female,True,0.0,0.0,467,87.0,120.0,72.0,57.0,15.0,2.0,0.0,5.0
03/04/2026,,Rosebank,Public,career day,Launch,tiktok,Video,True,Grade 11,Female,True,47.5,41.76,1214,241.0,69.0,43.0,35.0,11.0,0.0,0.0,4.0
16-05-2026,rosebank academy,Rosebank,Public,Digital Skills Push,Close,fb,Static,True,Grade 11,Male,False,81.28,69.09,2383,146.0,168.0,87.0,60.0,15.0,1.0,0.0,8.0
2026/04/24,Sandton College,Sandton,Public,LITERACY WEEK,Mid,Facebook,Static,True,Grade 12,Female,True,25.08,25.32,886,36.0,54.0,30.0,19.0,5.0,1.0,0.0,4.0
18/04/2026,randburg high,Randburg,Public,stem drive,Mid,IG,Carousel,True,Both,Female,False,290.71,248.39,6259,1325.0,590.0,315.0,265.0,85.0,18.0,,38.0
2026-05-09,Brixton High,Johannesburg South,Public,STEM Drive,Mid,WA,Video,True,Grade 12,All,False,5.33,5.99,492,198.0,122.0,64.0,36.0,10.0,1.0,0.0,
2026/04/29,midrand high,Midrand,Public,literacy week,Mid,TikTok,Video,False,Both,Female,False,0.0,0.0,20028,5669.0,1514.0,853.0,691.0,296.0,59.0,26.0,87.0
03-05-2026,RANDBURG HIGH,Randburg,Public,DIGITAL SKILLS PUSH,Mid,TT,Video,False,Both,Male,False,0.0,,1538,425.0,72.0,,28.0,14.0,1.0,0.0,2.0
21/04/2026,ROSEBANK ACADEMY,Rosebank,Public,Career Day,Mid,fb,Story,False,Grade 12,Female,True,0.0,0.0,1035,73.0,72.0,30.0,18.0,7.0,1.0,0.0,2.0
26-04-2026,midrand high,Midrand,Public,Literacy Week,Mid,TT,Video,False,Grade 12,Female,False,,0.0,8909,,1165.0,597.0,,153.0,26.0,14.0,74.0
2026-04-12,ROSEBANK ACADEMY,Rosebank,Public,Literacy Week,Launch,TT,Video,True,Grade 11,Male,False,41.56,39.69,1574,458.0,161.0,76.0,43.0,14.0,0.0,0.0,10.0
03/04/2026,rosebank academy,Rosebank,Public,CAREER DAY,Launch,WA,Static,False,Grade 12,All,False,,0.0,779,198.0,272.0,201.0,155.0,65.0,4.0,2.0,25.0
08/04/2026,,Sandton,Public,STEM Drive,Launch,TikTok,Carousel,False,Grade 12,All,True,0.0,0.0,15334,2753.0,1154.0,701.0,390.0,133.0,30.0,17.0,104.0
